OBEC,OKRES,PSC
Sulín,Stará Ľubovňa,065 46
Súlovce,Topoľčany,956 14
Súľov-Hradná,Bytča,013 52
Sušany,Poltár,980 12
Sútor,Rimavská Sobota,980 01
Svätá Mária,Trebišov,076 35
Svätoplukovo,Nitra,951 16
Svätuš,Sobrance,072 55
Svätuše,Trebišov,076 83
Svätý Anton,Banská Štiavnica,969 72
Svätý Jur,Pezinok,900 21
Svätý Kríž,Liptovský Mikuláš,032 11
Svätý Peter,Komárno,946 57
Svederník,Žilina,013 32
Sverepec,Považská Bystrica,017 01
Sveržov,Bardejov,086 02
Svetlice,Medzilaborce,067 16
Svidnička,Svidník,090 02
Svidník,Svidník,089 01
Svinia,Prešov,082 32
Svinica,Košice - okolie,044 45
Svinice,Trebišov,076 37
Svinná,Trenčín,913 24
Svit,Poprad,059 21
Svodín,Nové Zámky,943 54
Svrbice,Topoľčany,956 06
Svrčinovec,Čadca,023 12
Šahy,Levice,936 01
Šajdíkove Humence,Senica,906 07
Šaľa,Šaľa,
Šalgočka,Galanta,925 54
Šalgovce,Topoľčany,956 06
Šalov,Levice,935 71
Šambron,Stará Ľubovňa,065 45
Šamorín,Dunajská Streda,931 01
Šamudovce,Michalovce,072 01
Šandal,Stropkov,091 01
Šarbov,Svidník,090 05
Šarišská Poruba,Prešov,082 12
Šarišská Trstená,Prešov,082 14
Šarišské Bohdanovce,Prešov,082 05
Šarišské Čierne,Bardejov,086 37
Šarišské Dravce,Sabinov,082 73
Šarišské Jastrabie,Stará Ľubovňa,065 48
Šarišské Michaľany,Sabinov,082 22
Šarišské Sokolovce,Sabinov,082 66
Šarišský Štiavnik,Svidník,090 42
Šarkan,Nové Zámky,943 42
Šarovce,Levice,935 52
Šašová,Bardejov,086 12
Šaštín-Stráže,Senica,908 41
Šávoľ,Lučenec,985 41
Šelpice,Trnava,919 09
Šemetkovce,Svidník,090 03
Šemša,Košice - okolie,044 21
Šenkvice,Pezinok,900 81
Šiatorská Bukovinka,Lučenec,985 58
Šiba,Bardejov,086 22
Šíd,Lučenec,986 01
Šimonovce,Rimavská Sobota,980 03
Šindliar,Prešov,082 36
Šintava,Galanta,925 51
Šípkov,Bánovce nad Bebravou,956 53
Šípkové,Piešťany,922 03
Širákov,Veľký Krtíš,991 27
Širkovce,Rimavská Sobota,980 02
Široké,Prešov,082 37
Šišov,Bánovce nad Bebravou,956 38
Šivetice,Revúca,049 14
Šmigovec,Snina,067 73
Šoltýska,Poltár,985 07
Šoporňa,Galanta,925 52
Špačince,Trnava,919 51
Špania Dolina,Banská Bystrica,974 01
Španie Pole,Rimavská Sobota,980 23
Šrobárová,Komárno,946 32
Štefanov,Senica,906 45
Štefanov nad Oravou,Tvrdošín,027 44
Štefanová,Pezinok,900 86
Štefanovce,Prešov,082 35
Štefanovce,Vranov nad Topľou,094 01
Štefanovičová,Nitra,951 15
Štefurov,Svidník,090 42
Šterusy,Piešťany,922 03
Štiavnické Bane,Banská Štiavnica,
Štiavnička,Ružomberok,034 01
Štiavnička,Banská Bystrica,976 81
Štiavnik,Bytča,013 55
Štitáre,Nitra,951 01
Štítnik,Rožňava,049 32
Štós,Košice - okolie,044 26
Štôla,Poprad,059 37
Štrba,Poprad,
Štrkovec,Rimavská Sobota,980 45
Štúrovo,Nové Zámky,943 01
Štvrtok,Trenčín,913 05
Štvrtok na Ostrove,Dunajská Streda,930 40
Šuja,Žilina,015 01
Šuľa,Veľký Krtíš,991 01
Šumiac,Brezno,976 71
Šuňava,Poprad,059 39
Šurany,Nové Zámky,942 01
Šurianky,Nitra,951 26
Šurice,Lučenec,980 33
Šúrovce,Trnava,919 25
Šútovce,Prievidza,972 01
Šútovo,Martin,038 54
Švábovce,Poprad,
Švedlár,Gelnica,053 34
Švošov,Ružomberok,034 91
Tachty,Rimavská Sobota,980 34
Tajná,Nitra,952 01
Tajov,Banská Bystrica,976 34
Ťapešovo,Námestovo,029 51
Tarnov,Bardejov,086 01
Tašuľa,Sobrance,072 52
Tatranská Javorina,Poprad,059 56
Tehla,Levice,935 35
Tekolďany,Hlohovec,920 62
Tekovská Breznica,Žarnovica,966 52
Tekovské Lužany,Levice,935 41
Tekovské Nemce,Zlaté Moravce,
Tekovský Hrádok,Levice,935 51
Telgárt,Brezno,976 73
Telince,Nitra,951 61
Temeš,Prievidza,972 29
Teplička,Spišská Nová Ves,052 01
Teplička nad Váhom,Žilina,013 01
Tepličky,Hlohovec,920 66
Teplý Vrch,Rimavská Sobota,980 23
Terany,Krupina,962 68
Terchová,Žilina,013 06
Teriakovce,Prešov,080 05
Terňa,Prešov,082 67
Tesáre,Topoľčany,956 21
Tesárske Mlyňany,Zlaté Moravce,951 76
Tešedíkovo,Šaľa,925 82
Tibava,Sobrance,073 01
Tichý Potok,Sabinov,082 74
Timoradza,Bánovce nad Bebravou,956 52
Tisinec,Stropkov,091 01
Tisovec,Rimavská Sobota,980 61
Tlmače,Levice,935 21
Točnica,Lučenec,985 22
Tokajík,Stropkov,090 34
Tomášikovo,Galanta,925 04
Tomášov,Senec,900 44
Tomášovce,Rimavská Sobota,980 21
Tomášovce,Lučenec,985 56
Topoľa,Snina,067 65
Topoľčany,Topoľčany,
Topoľčianky,Zlaté Moravce,951 93
Topoľnica,Galanta,925 92
Topoľníky,Dunajská Streda,930 11
Topoľovka,Humenné,067 45
Toporec,Kežmarok,059 95
Tornaľa,Revúca,982 01
Torysa,Sabinov,082 76
Torysky,Levoča,053 71
Tovarné,Vranov nad Topľou,094 01
Tovarnian.Polianka,Vranov nad Topľou,094 01
Tovarníky,Topoľčany,955 01
Tôň,Komárno,946 15
Trakovice,Hlohovec,919 33
Trávnica,Nové Zámky,941 46
Trávnik,Komárno,946 19
Trebatice,Piešťany,922 10
Trebejov,Košice - okolie,044 81
Trebeľovce,Lučenec,985 31
Trebichava,Bánovce nad Bebravou,956 53
Trebišov,Trebišov,075 01
Trebostovo,Martin,038 41
Trebušovce,Veľký Krtíš,991 27
Trenč,Lučenec,985 32
Trenčianska Teplá,Trenčín,914 01
Trenčianska Turná,Trenčín,913 21
Trenč.Bohuslavice,Nové Mesto n.Váhom,913 07
Trenč.Jastrabie,Trenčín,913 22
Trenčianske Mitice,Trenčín,913 22
Trenč.Stankovce,Trenčín,913 11
Trenčianske Teplice,Trenčín,914 51
Trenčín,Trenčín,
Trhová Hradská,Dunajská Streda,930 13
Trhovište,Michalovce,072 04
Trnava,Trnava,
Trnavá Hora,Žiar nad Hronom,966 11
Trnava pri Laborci,Michalovce,072 31
Trnávka,Trebišov,078 01
Trnávka,Dunajská Streda,930 32
Tŕnie,Zvolen,962 34
Trnkov,Prešov,082 12
Trnovec,Skalica,908 51
Trnovec nad Váhom,Šaľa,925 71
Trnovo,Martin,038 41
Tročany,Bardejov,086 41
Trpín,Krupina,962 44
Trsťany,Košice - okolie,044 45
Trstená,Tvrdošín,028 01
Trstená na Ostrove,Dunajská Streda,930 04
Trstené,Liptovský Mikuláš,032 21
Trstené pri Hornáde,Košice - okolie,044 11
Trstice,Galanta,925 42
Trstín,Trnava,919 05
Tuhár,Lučenec,985 12
Tuhrina,Prešov,082 07
Tuchyňa,Ilava,018 55
Tulčík,Prešov,082 13
Tupá,Levice,935 84
Turá,Levice,935 51
Turany,Martin,038 53
Turany nad Ondavou,Stropkov,090 33
Turcovce,Humenné,067 23
Turček,Turčianske Teplice,038 48
Turčianky,Partizánske,958 44
Turč.Štiavnička,Martin,038 51
Turčianske Jaseno,Martin,038 02
Turčianske Kľačany,Martin,038 61
Turčianske Teplice,Turčianske Teplice,039 01
Turčiansky Ďur,Martin,038 43
Turčiansky Peter,Martin,038 41
Turčok,Revúca,049 18
Turecká,Banská Bystrica,976 02
Tureň,Senec,903 01
Turie,Žilina,013 12
Turík,Ružomberok,034 83
Turňa nad Bodvou,Košice - okolie,044 02
Turnianska Nová Ves,Košice - okolie,044 02
Turová,Zvolen,962 34
Turzovka,Čadca,023 54
Tušice,Michalovce,072 02
Tušická Nová Ves,Michalovce,072 02
Tužina,Prievidza,972 14
Tvarožná,Kežmarok,059 71
Tvrdomestice,Topoľčany,956 22
Tvrdošín,Tvrdošín,027 44
Tvrdošovce,Nové Zámky,941 10
Ubľa,Snina,067 73
Úbrež,Sobrance,072 42
Udavské,Humenné,067 31
Udiča,Považská Bystrica,018 01
Údol,Stará Ľubovňa,065 45
Uhliská,Levice,935 05
Úhorná,Gelnica,055 66
Uhorská Ves,Liptovský Mikuláš,032 03
Uhorské,Poltár,985 25
Uhrovec,Bánovce nad Bebravou,
Uhrovské Podhradie,Bánovce nad Bebravou,956 41
Úľany nad Žitavou,Nové Zámky,941 03
Ulič,Snina,067 67
Uličské Krivé,Snina,067 67
Uloža,Levoča,053 71
Uňatín,Krupina,962 41
Unín,Skalica,908 46
Urmince,Topoľčany,956 02
Utekáč,Poltár,985 06
Uzovce,Sabinov,082 66
Uzovská Panica,Rimavská Sobota,980 22
Uzovské Pekľany,Sabinov,082 63
Uzovský Šalgov,Sabinov,082 61
Vaďovce,Nové Mesto n.Váhom,916 13
Vagrinec,Svidník,090 03
Váhovce,Galanta,925 62
Vajkovce,Košice - okolie,044 43
Valaliky,Košice - okolie,044 13
Valaská,Brezno,
Valaská Belá,Prievidza,972 28
Valaská Dubová,Ružomberok,034 96
Valča,Martin,038 35
Valentovce,Medzilaborce,067 01
Valice,Rimavská Sobota,982 52
Valkovce,Svidník,090 42
Vaľkovňa,Brezno,976 69
Vaniškovce,Bardejov,086 41
Vápeník,Svidník,090 02
Varadka,Bardejov,086 36
Varechovce,Stropkov,090 23
Varhaňovce,Prešov,082 05
Varín,Žilina,013 03
Vasiľov,Námestovo,029 51
Vavrečka,Námestovo,029 01
Vavrinec,Vranov nad Topľou,094 31
Vavrišovo,Liptovský Mikuláš,032 42
Važec,Liptovský Mikuláš,032 61
Včelince,Rimavská Sobota,980 50
Večelkov,Rimavská Sobota,980 34
Vechec,Vranov nad Topľou,094 12
Veľaty,Trebišov,076 15
Velčice,Zlaté Moravce,951 71
Veličná,Dolný Kubín,027 54
Veľká Čalomija,Veľký Krtíš,991 09
Veľká Čausa,Prievidza,971 01
Veľká Čierna,Žilina,015 01
Veľká Dolina,Nitra,951 15
Veľká Franková,Kežmarok,059 78
Veľká Hradná,Trenčín,913 24
Veľká Ida,Košice - okolie,044 55
Veľká Lehota,Žarnovica,966 41
Veľká Lesná,Stará Ľubovňa,065 34
Veľká Lodina,Košice - okolie,044 81
Veľká Lomnica,Kežmarok,059 52
Veľká Lúka,Zvolen,962 31
Veľká Mača,Galanta,925 32
Veľká nad Ipľom,Lučenec,985 32
Veľká Paka,Dunajská Streda,930 51
Veľká Tŕňa,Trebišov,076 82
Veľká Ves,Poltár,985 01
Veľká Ves nad Ipľom,Veľký Krtíš,991 10
Veľké Bierovce,Trenčín,913 11
Veľké Blahovo,Dunajská Streda,930 01
Veľké Borové,Liptovský Mikuláš,027 32
Veľké Dravce,Lučenec,985 42
Veľké Držkovce,Bánovce nad Bebravou,956 54
Veľké Dvorany,Topoľčany,956 01
Veľké Dvorníky,Dunajská Streda,929 01
Veľké Hoste,Bánovce nad Bebravou,956 38
Veľké Chlievany,Bánovce nad Bebravou,956 55
Veľké Chyndice,Nitra,951 54
Veľké Kapušany,Michalovce,079 01
Veľké Kosihy,Komárno,946 21
Veľké Kostoľany,Piešťany,922 07
Veľké Kozmálovce,Levice,935 21
Veľké Kršteňany,Partizánske,958 03
Veľké Leváre,Malacky,908 73
Veľké Lovce,Nové Zámky,941 42
Veľké Ludince,Levice,935 65
Veľké Orvište,Piešťany,922 01
Veľké Ozorovce,Trebišov,078 01
Veľké Pole,Žarnovica,966 74
Veľké Raškovce,Michalovce,076 75
Veľké Revištia,Sobrance,072 43
Veľké Ripňany,Topoľčany,956 07
Veľké Rovné,Bytča,013 62
Veľké Slemence,Michalovce,076 77
Veľké Straciny,Veľký Krtíš,990 01
Veľké Teriakovce,Rimavská Sobota,
Veľké Trakany,Trebišov,076 42
Veľké Turovce,Levice,935 81
Veľké Uherce,Partizánske,
Veľké Úľany,Galanta,925 22
Veľké Vozokany,Zlaté Moravce,951 82
Veľké Zálužie,Nitra,951 35
Veľké Zlievce,Veľký Krtíš,991 23
Veľkrop,Stropkov,091 01
Veľký Biel,Senec,900 24
Veľký Blh,Rimavská Sobota,980 22
Veľký Cetín,Nitra,951 05
Veľký Čepčín,Turčianske Teplice,038 45
Veľký Ďur,Levice,935 34
Veľký Folkmar,Gelnica,055 51
Veľký Grob,Galanta,
Veľký Horeš,Trebišov,076 52
Veľký Kamenec,Trebišov,076 36
Veľký Klíž,Partizánske,958 45
Veľký Krtíš,Veľký Krtíš,990 01
Veľký Kýr,Nové Zámky,941 07
Veľký Lapáš,Nitra,951 04
Veľký Lipník,Stará Ľubovňa,065 33
Veľký Lom,Veľký Krtíš,991 03
Veľký Meder,Dunajská Streda,932 01
Veľký Slavkov,Poprad,
Veľký Slivník,Prešov,082 67
Veľký Šariš,Prešov,082 21
Veľopolie,Humenné,067 31
Velušovce,Topoľčany,955 01
Vernár,Poprad,059 17
Veselé,Piešťany,922 08
Veterná Poruba,Liptovský Mikuláš,031 04
Vidiná,Lučenec,985 59
Vieska,Dunajská Streda,930 02
Vieska,Veľký Krtíš,991 02
Vieska nad Blhom,Rimavská Sobota,980 21
Vieska nad Žitavou,Zlaté Moravce,951 52
Vígľaš,Detva,
Vígľašská Huta-Kalinka,Detva,962 25
Vikartovce,Poprad,059 19
Vinica,Veľký Krtíš,991 28
Viničky,Trebišov,076 31
Viničné,Pezinok,900 23
Vinné,Michalovce,072 31
Vinodol,Nitra,951 06
Vinohrady nad Váhom,Galanta,925 55
Vinosady,Pezinok,902 01
Virt,Komárno,946 38
Vislanka,Stará Ľubovňa,065 41
Vislava,Stropkov,090 21
Visolaje,Púchov,018 61
Višňov,Trebišov,076 61
Višňové,Žilina,013 23
Višňové,Nové Mesto n.Váhom,916 16
Višňové,Revúca,982 62
Vištuk,Pezinok,900 85
Vitanová,Tvrdošín,027 12
Víťaz,Prešov,082 38
Víťazovce,Humenné,067 24
Vítkovce,Spišská Nová Ves,053 63
Vlača,Vranov nad Topľou,094 31
Vladiča,Stropkov,090 23
Vlachovo,Rožňava,049 24
Vlachy,Liptovský Mikuláš,032 13
Vlčany,Šaľa,925 84
Vlčkovce,Trnava,919 23
Vlkanová,Banská Bystrica,976 31
Vlkas,Nové Zámky,941 44
Vlková,Kežmarok,059 72
Vlkovce,Kežmarok,059 71
Vlky,Senec,900 44
Vlkyňa,Rimavská Sobota,980 44
Voderady,Trnava,919 42
Vojany,Michalovce,076 72
Vojčice,Trebišov,076 22
Vojka,Trebišov,076 83
Vojka nad Dunajom,Dunajská Streda,930 31
Vojkovce,Spišská Nová Ves,053 61
Vojňany,Kežmarok,059 02
Vojnatina,Sobrance,072 61
Vojtovce,Stropkov,091 01
Voľa,Michalovce,072 21
Volica,Medzilaborce,067 01
Volkovce,Zlaté Moravce,951 87
Voznica,Žarnovica,966 81
Vozokany,Galanta,925 05
Vozokany,Topoľčany,956 05
Vráble,Nitra,952 01
Vrádište,Skalica,908 49
Vrakúň,Dunajská Streda,930 25
Vranov nad Topľou,Vranov nad Topľou,
Vrbnica,Michalovce,072 16
Vrbov,Kežmarok,059 72
Vrbová nad Váhom,Komárno,945 01
Vrbovce,Myjava,
Vrbové,Piešťany,922 03
Vŕbovec,Michalovce,071 01
Vrbovka,Veľký Krtíš,991 06
Vrchteplá,Považská Bystrica,017 05
Vrícko,Martin,038 31
Vršatské Podhradie,Ilava,018 52
Vrútky,Martin,038 61
Vtáčkovce,Košice - okolie,044 47
Výborná,Kežmarok,059 02
Výčapy - Opatovce,Nitra,951 44
Vydrany,Dunajská Streda,930 16
Vydrná,Púchov,020 53
Vydrník,Poprad,059 14
Vyhne,Žiar nad Hronom,966 02
Východná,Liptovský Mikuláš,
Výrava,Medzilaborce,067 16
Vysočany,Bánovce nad Bebravou,956 35
Vysoká,Sabinov,082 74
Vysoká,Banská Štiavnica,969 01
Vysoká nad Kysucou,Čadca,023 55
Vysoká nad Uhom,Michalovce,072 14
Vysoká pri Morave,Malacky,900 66
Vysoké Tatry,Poprad,
Vyškovce,Stropkov,090 21
Vyškovce nad Ipľom,Levice,935 77
Vyšná Boca,Liptovský Mikuláš,032 34
Vyšná Hutka,Košice - okolie,040 18
Vyšná Jablonka,Humenné,067 34
Vyšná Jedľová,Svidník,089 01
Vyšná Kamenica,Košice - okolie,044 45
Vyšná Myšľa,Košice - okolie,044 15
Vyšná Olšava,Stropkov,090 32
Vyšná Pisaná,Svidník,090 01
Vyšná Polianka,Bardejov,086 36
Vyšná Rybnica,Sobrance,072 41
Vyšná Sitnica,Humenné,094 07
Vyšná Slaná,Rožňava,049 26
Vyšná Šebastová,Prešov,080 06
Vyšná Voľa,Bardejov,086 21
Vyšné Ladičkovce,Humenné,067 11
Vyšné nad Hronom,Levice,935 31
Vyšné Nemecké,Sobrance,072 51
Vyšné Remety,Sobrance,072 41
Vyšné Repaše,Levoča,053 71
Vyšné Ružbachy,Stará Ľubovňa,065 02
Vyšné Valice,Rimavská Sobota,982 52
Vyšný Čaj,Košice - okolie,044 16
Vyšný Hrabovec,Stropkov,090 34
Vyšný Hrušov,Humenné,067 32
Vyšný Kazimír,Vranov nad Topľou,094 09
Vyšný Klátov,Košice - okolie,044 12
Vyšný Komárnik,Svidník,090 05
Vyšný Kručov,Bardejov,086 45
Vyšný Kubín,Dolný Kubín,026 01
Vyšný Medzev,Košice - okolie,044 25
Vyšný Mirošov,Svidník,090 11
Vyšný Orlík,Svidník,090 11
Vyšný Skálnik,Rimavská Sobota,980 52
Vyšný Slavkov,Levoča,053 73
Vyšný Tvarožec,Bardejov,086 02
Vyšný Žipov,Vranov nad Topľou,094 33
Zábiedovo,Tvrdošín,028 01
Záborie,Martin,038 03
Záborské,Prešov,082 53
Zádiel,Košice - okolie,044 02
Zádor,Rimavská Sobota,980 42
Záhor,Sobrance,072 53
Záhorce,Veľký Krtíš,991 06
Záhorčie,Žarnovica,966 81
Záhorie (vojenský obvod),Malacky,905 01
Záhorská Ves,Malacky,900 65
Záhradné,Prešov,082 16
Zacharovce,Rimavská Sobota,979 01
Zákamenné,Námestovo,029 56
Zákopčie,Čadca,023 11
Zalaba,Levice,937 01
Zálesie,Kežmarok,059 04
Zálesie,Senec,900 28
Zalužice,Michalovce,072 34
Zamarovce,Trenčín,911 05
Zámutov,Vranov nad Topľou,094 15
Záriečie,Púchov,020 52
Záskalie,Považská Bystrica,017 05
Zatín,Trebišov,076 53
Závada,Humenné,094 08
Závada,Topoľčany,955 01
Závada,Veľký Krtíš,991 21
Závadka,Gelnica,053 33
Závadka,Humenné,066 01
Závadka,Michalovce,072 33
Závadka nad Hronom,Brezno,976 67
Zavar,Trnava,
Závažná Poruba,Liptovský Mikuláš,032 02
Závod,Malacky,908 72
Zázrivá,Dolný Kubín,027 05
Zbehňov,Trebišov,078 01
Zbehy,Nitra,951 42
Zboj,Snina,067 68
Zbojné,Medzilaborce,067 13
Zborov,Bardejov,086 33
Zborov nad Bystricou,Čadca,023 03
Zbrojníky,Levice,935 55
Zbudská Belá,Medzilaborce,067 01
Zbudské Dlhé,Humenné,067 12
Zbudza,Michalovce,072 23
Zbyňov,Žilina,013 19
Zeleneč,Trnava,919 21
Zemianska Olča,Komárno,946 14
Zemianske Kostoľany,Prievidza,972 43
Zemianske Podhradie,Nové Mesto n.Váhom,913 07
Zemianske Sady,Galanta,925 54
Zemiansky Vrbovok,Krupina,962 41
Zemné,Nové Zámky,
Zemplín,Trebišov,076 34
Zemplínska Nová Ves,Trebišov,076 16
Zemplínska Široká,Michalovce,072 13
Zemplínska Teplica,Trebišov,
Zemplínske Hámre,Snina,067 77
Zemplínske Hradište,Trebišov,076 01
Zemplínske Jastrabie,Trebišov,076 05
Zemplínske Kopčany,Michalovce,072 17
Zemplínsky Branč,Trebišov,076 02
Zlatá Baňa,Prešov,082 52
Zlatá Idka,Košice - okolie,044 61
Zlaté,Bardejov,086 01
Zlaté Klasy,Dunajská Streda,930 39
Zlaté Moravce,Zlaté Moravce,
Zlatná na Ostrove,Komárno,946 12
Zlatník,Vranov nad Topľou,094 33
Zlatníky,Bánovce nad Bebravou,956 37
Zlatno,Zlaté Moravce,951 91
Zlatno,Poltár,985 03
Zliechov,Ilava,018 32
Zohor,Malacky,900 51
Zombor,Veľký Krtíš,991 22
Zubák,Púchov,020 64
Zuberec,Tvrdošín,027 32
Zubné,Humenné,067 33
Zubrohlava,Námestovo,029 43
Zvolen,Zvolen,
Zvolenská Slatina,Zvolen,962 01
Zvončín,Trnava,919 01
Žabokreky,Martin,038 40
Žabokreky nad Nitrou,Partizánske,958 52
Žakarovce,Gelnica,055 71
Žakovce,Kežmarok,059 73
Žalobín,Vranov nad Topľou,094 03
Žarnov,Košice - okolie,044 02
Žarnovica,Žarnovica,966 81
Žaškov,Dolný Kubín,
Žbince,Michalovce,072 16
Ždaňa,Košice - okolie,044 11
Ždiar,Poprad,059 55
Žehňa,Prešov,082 06
Žehra,Spišská Nová Ves,053 61
Železná Breznica,Zvolen,962 34
Železník,Svidník,087 01
Želiezovce,Levice,937 01
Želmanovce,Svidník,086 44
Želovce,Veľký Krtíš,
Žemberovce,Levice,935 02
Žemliare,Levice,935 57
Žiar,Liptovský Mikuláš,032 05
Žiar,Revúca,982 01
Žiar nad Hronom,Žiar nad Hronom,965 01
Žibritov,Krupina,963 01
Žihárec,Šaľa,925 83
Žikava,Zlaté Moravce,951 92
Žilina,Žilina,
Žíp,Rimavská Sobota,980 21
Žipov,Prešov,082 41
Žirany,Nitra,951 74
Žitavany,Zlaté Moravce,
Žitavce,Nitra,952 01
Žitná - Radiša,Bánovce nad Bebravou,956 41
Žlkovce,Hlohovec,920 42
Župčany,Prešov,080 01
Župkov,Žarnovica,966 71
