OBEC,OKRES,PSC
Dlhoňa,Svidník,090 02
Dlžín,Prievidza,972 26
Dobrá,Trebišov,076 41
Dobrá Niva,Zvolen,
Dobrá Voda,Trnava,919 54
Dobroč,Lučenec,985 53
Dobrohošť,Dunajská Streda,930 31
Dobroslava,Svidník,090 01
Dobšiná,Rožňava,049 25
Dohňany,Púchov,020 51
Dojč,Senica,906 02
Doľany,Levoča,053 02
Doľany,Pezinok,900 88
Dolinka,Veľký Krtíš,991 28
Dolná Breznica,Púchov,020 61
Dolná Krupá,Trnava,919 65
Dolná Lehota,Brezno,976 98
Dolná Mariková,Považská Bystrica,018 02
Dolná Mičiná,Banská Bystrica,974 01
Dolná Poruba,Trenčín,914 43
Dolná Seč,Levice,935 31
Dolná Streda,Galanta,925 63
Dolná Strehová,Veľký Krtíš,991 02
Dolná Súča,Trenčín,
Dolná Tižina,Žilina,
Dolná Trnávka,Žiar nad Hronom,966 21
Dolná Ves,Žiar nad Hronom,967 01
Dolná Ždaňa,Žiar nad Hronom,966 01
Dolné Dubové,Trnava,919 52
Dolné Kočkovce,Púchov,020 01
Dolné Lefantovce,Nitra,951 45
Dolné Lovčice,Trnava,919 27
Dolné Mladonice,Krupina,962 41
Dolné Naštice,Bánovce nad Bebravou,957 01
Dolné Obdokovce,Nitra,951 02
Dolné Orešany,Trnava,919 02
Dolné Otrokovce,Hlohovec,920 61
Dolné Plachtince,Veľký Krtíš,991 24
Dolné Saliby,Galanta,925 02
Dolné Semerovce,Levice,935 85
Dolné Srnie,Nové Mesto n.Váhom,916 41
Dolné Strháre,Veľký Krtíš,991 03
Dolné Trhovište,Hlohovec,920 61
Dolné Vestenice,Prievidza,972 23
Dolné Zahorany,Rimavská Sobota,985 42
Dolné Zelenice,Hlohovec,920 52
Dolný Badín,Krupina,962 51
Dolný Bar,Dunajská Streda,930 14
Dolný Harmanec,Banská Bystrica,976 03
Dolný Hričov,Žilina,013 41
Dolný Chotár,Galanta,925 41
Dolný Kalník,Martin,038 02
Dolný Kubín,Dolný Kubín,026 01
Dolný Lieskov,Považská Bystrica,"018 21 "
Dolný Lieskov-Tŕstie,Považská Bystrica,018 22
Dolný Lopašov,Piešťany,922 04
Dolný Ohaj,Nové Zámky,941 43
Dolný Pial,Levice,935 37
Dolný Štál,Dunajská Streda,930 10
Dolný Vadičov,Kysucké Nové Mesto,023 45
Domadice,Levice,935 87
Domaníky,Krupina,962 65
Domaniža,Považská Bystrica,018 16
Domaňovce,Levoča,053 02
Donovaly,Banská Bystrica,976 39
Drábsko,Brezno,976 53
Drahňov,Michalovce,076 74
Drahovce,Piešťany,922 41
Dravce,Levoča,053 14
Dražice,Rimavská Sobota,980 23
Dražkovce,Martin,038 02
Drážovce,Krupina,962 68
Drienčany,Rimavská Sobota,980 23
Drienica,Sabinov,083 01
Drienov,Prešov,082 04
Drienovec,Košice - okolie,044 01
Drienovo,Krupina,962 51
Drienovská Nová Ves,Prešov,082 01
Drietoma,Trenčín,913 03
Drňa,Rimavská Sobota,980 03
Drnava,Rožňava,049 42
Družstevná pri Horn.,Košice - okolie,044 31
Drženice,Levice,935 03
Držkovce,Revúca,982 62
Ďubákovo,Poltár,985 07
Dubinné,Bardejov,086 12
Dubnica nad Váhom,Ilava,018 41
Dubnička,Bánovce nad Bebravou,957 03
Dubník,Nové Zámky,941 35
Dubno,Rimavská Sobota,980 35
Dubodiel,Trenčín,913 23
Dubová,Svidník,090 11
Dubová,Pezinok,900 90
Dubovany,Piešťany,922 08
Dubovce,Skalica,908 62
Dubové,Turčianske Teplice,038 23
Dubové,Zvolen,962 61
Dubovec,Rimavská Sobota,980 41
Dubovica,Sabinov,082 71
Dúbrava,Liptovský Mikuláš,032 12
Dúbrava,Levoča,053 05
Dúbrava,Snina,067 73
Dúbravica,Banská Bystrica,976 33
Dúbravka,Michalovce,072 15
Dúbravy,Detva,962 12
Ducové,Piešťany,922 21
Dudince,Krupina,962 71
Dukovce,Svidník,086 44
Dulov,Ilava,018 52
Dulova Ves,Prešov,082 52
Dulovce,Komárno,946 56
Dulovo,Rimavská Sobota,980 21
Dunajov,Čadca,023 02
Dunajská Lužná,Senec,900 42
Dunajská Streda,Dunajská Streda,
Dunajský Klátov,Dunajská Streda,930 21
Duplín,Stropkov,091 01
Ďurčiná,Žilina,015 01
Ďurďoš,Vranov nad Topľou,094 31
Ďurďošík,Košice - okolie,044 45
Ďurďové,Považská Bystrica,018 22
Ďurkov,Košice - okolie,044 19
Ďurková,Stará Ľubovňa,065 41
Ďurkovce,Veľký Krtíš,991 27
Dvorany nad Nitrou,Topoľčany,956 11
Dvorec,Bánovce nad Bebravou,956 55
Dvorianky,Trebišov,076 62
Dvorníky,Hlohovec,920 56
Dvorníky - Včeláre,Košice - okolie,044 02
Dvory nad Žitavou,Nové Zámky,941 31
Egreš,Trebišov,075 01
Fačkov,Žilina,013 15
Falkušovce,Michalovce,072 05
Farná,Levice,935 66
Fekišovce,Sobrance,072 33
Figa,Rimavská Sobota,982 51
Fijaš,Svidník,087 01
Fiľakovo,Lučenec,986 01
Fiľakovské Kováče,Lučenec,986 01
Fintice,Prešov,082 16
Folkušová,Martin,038 42
Forbasy,Stará Ľubovňa,065 01
Frička,Bardejov,086 02
Fričkovce,Bardejov,086 42
Fričovce,Prešov,082 37
Fulianka,Prešov,082 12
Gabčíkovo,Dunajská Streda,930 05
Gaboltov,Bardejov,086 02
Gajary,Malacky,900 61
Galanta,Galanta,
Galovany,Liptovský Mikuláš,032 11
Gáň,Galanta,924 01
Gánovce,Poprad,058 01
Gbeľany,Žilina,013 02
Gbelce,Nové Zámky,943 42
Gbely,Skalica,908 45
Gbely - Cunín,Skalica,908 48
Geča,Košice - okolie,
Gelnica,Gelnica,056 01
Gemer,Revúca,982 01
